branch;client_id
Singapore;177920
Ottawa;153680
Washington;120080
Seoul;105480
Washington;167510
Berlin;184280
Tokyo;141490
Canberra;170270
Tokyo;152390
Paris;121360
Stockholm;161610
Paris;133960
Bern;187190
Singapore;143320
 Washington ;167620
Berlin;181930
Stockholm;131840
Berlin;171150
Amsterdam;173860
Ottawa;176460
Singapore;116240
Bern;177360
Ottawa;196910
OTTAWA;133230
Seoul;160940
Ottawa;196200
London;134900
Washington;120100
Paris;134690
Seoul;114690
London;106860
Amsterdam;173510
Berlin;152180
Bern;134180
Bern;162700
 Berlin ;198180
Paris;185070
Amsterdam;153200
Ottawa;179290
Seoul;140650
Seoul;184210
Stockholm;143690
Ottawa;117010
Bern;123450
London;113300
London;170770
Stockholm;181460
Singapore;113820
Amsterdam;168320
Stockholm;181640
Ottawa;179560
Canberra;180900
Amsterdam;100010
Paris;160610
Singapore;105810
Washington;
Berlin;173000
Berlin;193800
Amsterdam;136410
Bern;125880
Ottawa;180520
Berlin;189980
Stockholm;136850
Paris;193110
london;127580
Ottawa;152090
Tokyo;136390
Washington;130020
Bern;123710
Berlin;114390
Washington;194980
Singapore;120480
 Ottawa ;161030
Stockholm;113830
Singapore;195220
Paris;164450
Tokyo;181680
Paris;176680
Canberra;137860
Paris;124610
Singapore;103880
Ottawa;102000
Ottawa;196150
Canberra;194640
Canberra;139320
Bern;107960
Amsterdam;170350
Stockholm;181970
Paris;192550
Berlin;116520
Berlin;137200
Singapore;146990
 London ;121310
Ottawa;181810
Stockholm;199510
Stockholm;156210
Stockholm;163570
Bern;161300
Berlin;111180
Berlin;122020
Tokyo;100790
London;135660
Canberra;161740
Seoul;164960
Paris;125290
Seoul;164470
 Paris ;103450
Canberra;169860
Bern;104150
Singapore;136660
Tokyo;106390
CANBERRA;162470
Bern;181830
 Singapore ;131290
Amsterdam;144540
Berlin;181840
Seoul;183410
Amsterdam;196570
Canberra;159390
Berlin;129600
Ottawa;147580
Singapore;170180
Stockholm;169920
Seoul;124990
Amsterdam;149510
Seoul;134510
Paris;174930
Canberra;158980
Tokyo;164630
Paris;161200
Canberra;107350
 Stockholm ;148230
Berlin;123100
Canberra;196820
Paris;196710
Bern;198720
Paris;120540
Ottawa;149500
Seoul;126470
Seoul;187620
Washington;124880
Washington;157420
Stockholm;149860
Amsterdam;161800
Canberra;138670
Stockholm;123060
Amsterdam;128300
Berlin;186300
 Bern ;130540
Paris;144680
Ottawa;108960
Singapore;170550
London;186640
Paris;175460
Stockholm;136600
Stockholm;102390
Amsterdam;158000
 Amsterdam ;191000
Amsterdam;194540
Paris;121880
Ottawa;122160
London;184790
Bern;187070
CANBERRA;187500
Bern;184960
Stockholm;112890
Paris;102570
amsterdam;171110
Canberra;149760
Ottawa;159430
Seoul;141630
Bern;116190
London;137390
 Bern ;110700
Amsterdam;137240
Tokyo;145050
Berlin;164890
Canberra;191290
Canberra;118370
Washington;179340
STOCKHOLM;131360
London;192010
Paris;123460
Singapore;150160
 Stockholm ;122820
Paris;113700
Singapore;186210
Washington;165100
London;169280
London;162030
Amsterdam;171900
Washington;176390
Ottawa;104080
Canberra;164150
Stockholm;116270
Seoul;115000
Amsterdam;172210
Seoul;143200
Amsterdam;162160
Seoul;194110
Singapore;130150
Seoul;111650
Berlin;198760
Paris;133180
Paris;129880
London;104220
Canberra;
Washington;193380
Paris;128480
Berlin;144560
Amsterdam;125820
Paris;108940
Stockholm;101670
Tokyo;199390
Seoul;191270
Amsterdam;181700
Stockholm;189670
Tokyo;124650
Berlin;188010
Berlin;107200
Berlin;147910
Bern;164070
London;177340
London;180600
London;142730
Washington;125220
Stockholm;164960
Amsterdam;111920
 Stockholm ;113500
Canberra;192440
Ottawa;160770
Amsterdam;110190
Stockholm;131580
Singapore;140450
Stockholm;145800
Seoul;146650
London;129950
Canberra;101110
Amsterdam;151420
Singapore;196380
Paris;157260
Singapore;102680
Ottawa;189410
Amsterdam;191420
Seoul;175260
Tokyo;120470
Ottawa;146170
Berlin;130800
Tokyo;164300
 London ;128740
Canberra;190930
Ottawa;157160
 Bern ;151730
Washington;185490
 Paris ;170470
Canberra;116300
tokyo;182300
Ottawa;168080
Canberra;149470
Amsterdam;189780
Ottawa;164980
Paris;123190
Singapore;183940
Seoul;185290
Paris;135500
London;190690
Amsterdam;127970
Amsterdam;171160
Stockholm;195260
Bern;164760
Paris;156090
Bern;191780
Washington;137820
Stockholm;114530
Tokyo;148750
Seoul;174520
Tokyo;164770
Washington;128610
Singapore;190720
Amsterdam;174630
Tokyo;199380
Seoul;153710
London;159610
bern;198020
Paris;135140
Berlin;190380
Bern;198700
Tokyo;131770
London;142330
Stockholm;131000
Amsterdam;170910
Paris;172590
Singapore;199040
Canberra;152210
Amsterdam;150860
Bern;172430
Ottawa;146740
Canberra;168520
Washington;173920
 Ottawa ;120010
Singapore;197900
Stockholm;159330
 Washington ;163550
Seoul;162040
Ottawa;146360
Ottawa;129120
Amsterdam;174150
Berlin;115690
Tokyo;185690
Bern;180740
 Tokyo ;179150
Seoul;125280
London;146000
Singapore;128570
Ottawa;139350
Berlin;130150
 Bern ;178430
Washington;176160
Canberra;154120
Stockholm;112530
Ottawa;134130
Bern;166910
Stockholm;150250
Washington;112240
Singapore;144050
Tokyo;126850
Amsterdam;166950
Singapore;177190
Singapore;122360
London;151440
Ottawa;159050
Ottawa;126560
Paris;164700
Ottawa;162960
Singapore;134310
Bern;190520
Seoul;149930
Berlin;191040
Amsterdam;186020
Ottawa;187560
Canberra;104700
Singapore;108230
Bern;151040
Washington;133890
Seoul;127000
Ottawa;180060
Paris;147730
Amsterdam;130450
Amsterdam;150590
Amsterdam;149030
Washington;184140
Stockholm;185710
Seoul;159270
Amsterdam;168950
Tokyo;187780
Tokyo;156810
Washington;173590
London;171840
London;127500
Washington;142780
Amsterdam;191060
SINGAPORE;109050
Ottawa;116760
Tokyo;125780
Paris;183210
Amsterdam;132010
Tokyo;155620
 Canberra ;170490
Stockholm;110640
Amsterdam;190960
Amsterdam;144030
 Paris ;101850
Canberra;139070
Washington;102710
Amsterdam;118420
Singapore;149220
berlin;177740
Tokyo;198350
Amsterdam;176290
London;161160
Canberra;191510
Tokyo;166020
Paris;164910
Berlin;172260
Seoul;134160
Seoul;138890
Canberra;169780
Paris;146910
Seoul;198840
Seoul;183480
Washington;149790
Canberra;143330
Bern;105080
Stockholm;186670
Singapore;144320
Seoul;134320
 London ;188790
London;139840
Washington;178990
Stockholm;102500
Bern;134060
STOCKHOLM;183920
Tokyo;102940
Singapore;162220
Singapore;177130
Washington;115380
Paris;116540
Berlin;189790
Bern;189770
Singapore;193510
London;181440
Seoul;135640
Berlin;105310
Bern;181500
Washington;101030
London;189920
Amsterdam;176480
London;179420
Paris;180510
Amsterdam;149210
Washington;
Canberra;199650
Canberra;191520
Canberra;198540
Singapore;131860
LONDON;152990
Washington;159300
Canberra;161860
 Seoul ;135490
Washington;140050
 Singapore ;131920
Berlin;116900
Paris;101040
Singapore;147510
Bern;102840
Seoul;104880
Tokyo;130930
Canberra;127110
Berlin;162670
Washington;104440
Berlin;171250
Tokyo;124370
 Singapore ;193300
Amsterdam;194240
Tokyo;164800
Seoul;192210
Amsterdam;126240
Paris;113230
Bern;158760
Tokyo;114380
 Berlin ;181600
Seoul;152700
Berlin;198920
Stockholm;181940
Tokyo;127290
Bern;129230
Ottawa;102870
SINGAPORE;187160
Bern;131930
 Stockholm ;196640
washington;111110
Seoul;165990
Ottawa;129190
Tokyo;158250
Amsterdam;101630
Ottawa;106740
Canberra;156620
Ottawa;115360
Ottawa;111430
Seoul;130990
Paris;121960
;125700
London;125570
London;171460
Bern;152430
Seoul;117510
Berlin;139870
Canberra;123330
Stockholm;142730
Singapore;194970
Berlin;145980
Singapore;145540
Paris;134990
Canberra;171070
Tokyo;
Washington;120280
Berlin;117890
Paris;143080
Paris;142200
Singapore;171300
Washington;141770
Tokyo;176880
Amsterdam;141360
Tokyo;142720
Singapore;168610
Canberra;119480
London;172870
Seoul;191230
Canberra;185800
London;120380
Stockholm;141040
Canberra;156480
Bern;178450
Singapore;105130
Singapore;143680
;130910
Bern;112640
Tokyo;116340
Tokyo;185110
Ottawa;126700
Stockholm;173390
Seoul;133720
Ottawa;191200
Seoul;123590
Stockholm;164390
Canberra;117180
Canberra;158230
Ottawa;111850
Berlin;135130
Singapore;195560
Tokyo;107150
Paris;194490
Berlin;107850
Canberra;193640
Bern;127440
Stockholm;135090
Tokyo;193250
Bern;142150
Stockholm;128700
Paris;134400
Amsterdam;141830
Ottawa;132570
Washington;132140
Seoul;114540
Stockholm;195580
Ottawa;160030
Tokyo;112620
Berlin;157760
Amsterdam;152490
Paris;163370
London;110960
Singapore;155290
Berlin;150570
Paris;131900
Ottawa;174910
STOCKHOLM;125440
Seoul;196560
Ottawa;106300
Stockholm;167040
Amsterdam;195340
Washington;158460
 London ;153150
Seoul;186970
Paris;170700
Singapore;149450
Berlin;123640
ottawa;183280
Seoul;163970
Stockholm;102030
Tokyo;155460
London;186400
Amsterdam;165240
London;197430
Ottawa;154750
Canberra;112610
Bern;141170
Washington;197640
Bern;181890
Berlin;198260
 Bern ;181000
Canberra;127960
STOCKHOLM;192080
;115950
Washington;158570
Canberra;150610
London;183170
London;114130
Singapore;140380
Berlin;164780
Amsterdam;158240
Washington;162280
Bern;152200
Seoul;136920
Washington;152930
Amsterdam;195410
Amsterdam;145910
Singapore;173410
Washington;160270
Washington;161850
Tokyo;190710
Amsterdam;136420
Bern;132760
Paris;161550
Tokyo;122790
Stockholm;138850
seoul;191820
Canberra;130040
 Washington ;154510
Seoul;125070
Washington;104160
Berlin;122710
Seoul;186990
Ottawa;121760
Paris;165320
Seoul;140320
London;132180
Stockholm;130200
Stockholm;127840
Singapore;172540
Tokyo;161760
Washington;194960
Canberra;133210
OTTAWA;188440
Berlin;107250
Singapore;110320
Ottawa;167870
Tokyo;102580
Canberra;132450
London;132800
London;175850
Canberra;175360
Canberra;185240
Bern;155270
Bern;177240
Paris;150660
Paris;177320
Berlin;177020
Seoul;184810
Canberra;146290
Amsterdam;198740
Seoul;186980
Berlin;146160
London;125930
Bern;111750
Tokyo;130560
Washington;147910
Bern;110290
Canberra;168480
Seoul;132520
London;147850
Tokyo;140500
SEOUL;100610
Seoul;183350
Washington;151630
Singapore;170630
Berlin;120890
seoul;154580
Berlin;148040
Washington;100480
Canberra;184970
Stockholm;184980
Stockholm;114740
Ottawa;136430
Bern;127540
Stockholm;176320
Canberra;157600
Seoul;183120
 Paris ;187720
 London ;123300
Singapore;106690
Paris;181120
Stockholm;171370
London;151600
Stockholm;107600
Seoul;142890
Amsterdam;153580
Bern;166200
Paris;108350
Bern;112280
Stockholm;197980
London;120630
Singapore;113100
Ottawa;137460
Bern;153170
Bern;182110
Amsterdam;128760
Ottawa;189010
Paris;148720
Paris;102810
Canberra;153930
 Paris ;139660
Paris;125900
Berlin;140290
Paris;186870
Canberra;127180
Bern;116290
 Bern ;192350
Washington;141750
Paris;104910
Singapore;159780
Stockholm;108610
Seoul;118300
Amsterdam;119530
Berlin;189390
singapore;195190
Paris;138470
Paris;172580
Stockholm;130680
Washington;160840
Singapore;153530
Tokyo;192620
Seoul;152460
Berlin;164640
Singapore;179900
Paris;169720
Seoul;130240
Singapore;170690
Bern;179590
Paris;119310
London;170710
Berlin;118800
Paris;178340
Singapore;102780
Bern;100410
London;114150
Stockholm;165330
tokyo;194260
Paris;134150
Ottawa;128130
 Stockholm ;114010
washington;122260
Washington;198100
London;188640
Washington;131410
Tokyo;142420
Stockholm;166690
;154330
 London ;108170
 Seoul ;173710
Bern;124100
Washington;183760
Paris;124900
Paris;143140
Seoul;100330
Ottawa;153330
Paris;104650
London;196460
 Tokyo ;155720
Amsterdam;133780
Seoul;192110
Paris;112830
Paris;162240
;154490
Singapore;105670
Seoul;100640
Stockholm;151790
Singapore;123980
London;127600
Stockholm;139080
Singapore;137080
Stockholm;
Tokyo;114160
Berlin;130290
Seoul;123890
Singapore;196840
Amsterdam;192470
Stockholm;124840
Paris;110090
Berlin;193780
Stockholm;178290
 Ottawa ;183340
Amsterdam;185510
Singapore;180590
Berlin;199000
Seoul;131970
;132660
Singapore;123570
Washington;169150
Canberra;188070
Canberra;119200
Canberra;119870
Stockholm;181790
 Washington ;153060
Stockholm;144840
London;128790
Tokyo;174920
Berlin;192700
London;170890
Seoul;120080
Berlin;150840
Singapore;151460
Bern;186330
Stockholm;124620
Bern;104940
Washington;124520
London;117690
Paris;119220
Amsterdam;119600
Bern;169240
Seoul;138740
SINGAPORE;137710
Paris;189930
Berlin;101720
Bern;144950
Stockholm;119970
 Bern ;145480
London;121370
London;112180
Singapore;173090
Tokyo;166640
Bern;109940
Ottawa;186460
Paris;190670
Singapore;105930
 Amsterdam ;148860
Ottawa;139220
Tokyo;131740
Singapore;169800
Bern;194590
Berlin;109590
Seoul;151860
Ottawa;115800
Ottawa;144350
Berlin;192320
Tokyo;194570
Seoul;149200
Ottawa;141230
Stockholm;106120
Berlin;155670
Singapore;113810
SEOUL;189210
 Bern ;137510
Bern;167800
Tokyo;105990
London;169220
Amsterdam;122600
Stockholm;101970
Berlin;192190
Singapore;103630
Stockholm;149990
Amsterdam;103040
Tokyo;182080
Tokyo;172510
Tokyo;191680
Ottawa;119050
Paris;192540
Bern;191100
Berlin;103790
Stockholm;198460
Amsterdam;171830
 Canberra ;129960
Amsterdam;180150
Amsterdam;134140
 Stockholm ;116940
 Paris ;157610
Tokyo;110800
Singapore;168060
Seoul;175150
Tokyo;184510
Berlin;154070
 Stockholm ;111500
